timestamp,sensor,value
2026-09-20T08:00:00,knee_angle,34.14
2026-09-20T08:00:00,hip_angle,10.56
2026-09-20T08:00:00,grip_force,159.71
2026-09-20T08:00:00,step_rate,74.35
2026-09-20T08:00:30,knee_angle,53.23
2026-09-20T08:00:30,hip_angle,25.6
2026-09-20T08:00:30,grip_force,23.34
2026-09-20T08:00:30,step_rate,100.45
2026-09-20T08:01:00,knee_angle,8.37
2026-09-20T08:01:00,hip_angle,30.36
2026-09-20T08:01:00,grip_force,26.07
2026-09-20T08:01:00,step_rate,75.44
2026-09-20T08:01:30,knee_angle,43.21
2026-09-20T08:01:30,hip_angle,57.88
2026-09-20T08:01:30,grip_force,38.47
2026-09-20T08:01:30,step_rate,83.39
2026-09-20T08:02:00,knee_angle,61.47
2026-09-20T08:02:00,hip_angle,66.34
2026-09-20T08:02:00,grip_force,142.73
2026-09-20T08:02:00,step_rate,93.8
2026-09-20T08:02:30,knee_angle,92.86
2026-09-20T08:02:30,hip_angle,3.26
2026-09-20T08:02:30,grip_force,207.45
2026-09-20T08:02:30,step_rate,87.38
2026-09-20T08:03:00,knee_angle,17.98
2026-09-20T08:03:00,hip_angle,8.25
2026-09-20T08:03:00,grip_force,80.95
2026-09-20T08:03:00,step_rate,118.97
2026-09-20T08:03:30,knee_angle,21.27
2026-09-20T08:03:30,hip_angle,40.71
2026-09-20T08:03:30,grip_force,156.95
2026-09-20T08:03:30,step_rate,92.34
2026-09-20T08:04:00,knee_angle,54.3
2026-09-20T08:04:00,hip_angle,4.4
2026-09-20T08:04:00,grip_force,23.71
2026-09-20T08:04:00,step_rate,82.36
2026-09-20T08:04:30,knee_angle,66.24
2026-09-20T08:04:30,hip_angle,29.93
2026-09-20T08:04:30,grip_force,82.25
2026-09-20T08:04:30,step_rate,105.13
2026-09-20T08:05:00,knee_angle,45.79
2026-09-20T08:05:00,hip_angle,20.98
2026-09-20T08:05:00,grip_force,192.71
2026-09-20T08:05:00,step_rate,111.94
2026-09-20T08:05:30,knee_angle,26.97
2026-09-20T08:05:30,hip_angle,40.21
2026-09-20T08:05:30,grip_force,130.8
2026-09-20T08:05:30,step_rate,122.51
2026-09-20T08:06:00,knee_angle,70.65
2026-09-20T08:06:00,hip_angle,20.16
2026-09-20T08:06:00,grip_force,235.44
2026-09-20T08:06:00,step_rate,77.08
2026-09-20T08:06:30,knee_angle,42.63
2026-09-20T08:06:30,hip_angle,53.0
2026-09-20T08:06:30,grip_force,44.96
2026-09-20T08:06:30,step_rate,99.34
2026-09-20T08:07:00,knee_angle,8.53
2026-09-20T08:07:00,hip_angle,46.78
2026-09-20T08:07:00,grip_force,185.85
2026-09-20T08:07:00,step_rate,104.38
2026-09-20T08:07:30,knee_angle,83.79
2026-09-20T08:07:30,hip_angle,21.96
2026-09-20T08:07:30,grip_force,169.92
2026-09-20T08:07:30,step_rate,105.66
2026-09-20T08:08:00,knee_angle,57.19
2026-09-20T08:08:00,hip_angle,31.93
2026-09-20T08:08:00,grip_force,203.19
2026-09-20T08:08:00,step_rate,126.68
2026-09-20T08:08:30,knee_angle,47.67
2026-09-20T08:08:30,hip_angle,46.49
2026-09-20T08:08:30,grip_force,23.95
2026-09-20T08:08:30,step_rate,112.09
2026-09-20T08:09:00,knee_angle,63.24
2026-09-20T08:09:00,hip_angle,69.52
2026-09-20T08:09:00,grip_force,199.04
2026-09-20T08:09:00,step_rate,87.08
2026-09-20T08:09:30,knee_angle,39.72
2026-09-20T08:09:30,hip_angle,46.81
2026-09-20T08:09:30,grip_force,15.19
2026-09-20T08:09:30,step_rate,97.7
2026-09-20T08:10:00,knee_angle,20.12
2026-09-20T08:10:00,hip_angle,8.2
2026-09-20T08:10:00,grip_force,23.56
2026-09-20T08:10:00,step_rate,116.09
2026-09-20T08:10:30,knee_angle,16.64
2026-09-20T08:10:30,hip_angle,17.33
2026-09-20T08:10:30,grip_force,99.92
2026-09-20T08:10:30,step_rate,122.29
2026-09-20T08:11:00,knee_angle,12.25
2026-09-20T08:11:00,hip_angle,31.44
2026-09-20T08:11:00,grip_force,136.37
2026-09-20T08:11:00,step_rate,123.0
2026-09-20T08:11:30,knee_angle,78.74
2026-09-20T08:11:30,hip_angle,60.48
2026-09-20T08:11:30,grip_force,74.04
2026-09-20T08:11:30,step_rate,94.92
2026-09-20T08:12:00,knee_angle,37.29
2026-09-20T08:12:00,hip_angle,61.89
2026-09-20T08:12:00,grip_force,230.28
2026-09-20T08:12:00,step_rate,79.06
2026-09-20T08:12:30,knee_angle,20.86
2026-09-20T08:12:30,hip_angle,16.24
2026-09-20T08:12:30,grip_force,63.67
2026-09-20T08:12:30,step_rate,99.1
2026-09-20T08:13:00,knee_angle,58.02
2026-09-20T08:13:00,hip_angle,18.39
2026-09-20T08:13:00,grip_force,10.94
2026-09-20T08:13:00,step_rate,95.14
2026-09-20T08:13:30,knee_angle,38.23
2026-09-20T08:13:30,hip_angle,39.64
2026-09-20T08:13:30,grip_force,229.21
2026-09-20T08:13:30,step_rate,111.43
2026-09-20T08:14:00,knee_angle,51.39
2026-09-20T08:14:00,hip_angle,43.23
2026-09-20T08:14:00,grip_force,165.53
2026-09-20T08:14:00,step_rate,73.24
2026-09-20T08:14:30,knee_angle,85.96
2026-09-20T08:14:30,hip_angle,54.6
2026-09-20T08:14:30,grip_force,211.14
2026-09-20T08:14:30,step_rate,117.87
2026-09-20T08:15:00,knee_angle,40.31
2026-09-20T08:15:00,hip_angle,27.93
2026-09-20T08:15:00,grip_force,33.81
2026-09-20T08:15:00,step_rate,108.06
2026-09-20T08:15:30,knee_angle,10.6
2026-09-20T08:15:30,hip_angle,4.71
2026-09-20T08:15:30,grip_force,58.02
2026-09-20T08:15:30,step_rate,79.74
2026-09-20T08:16:00,knee_angle,35.6
2026-09-20T08:16:00,hip_angle,3.68
2026-09-20T08:16:00,grip_force,10.05
2026-09-20T08:16:00,step_rate,79.08
2026-09-20T08:16:30,knee_angle,14.13
2026-09-20T08:16:30,hip_angle,25.45
2026-09-20T08:16:30,grip_force,15.87
2026-09-20T08:16:30,step_rate,122.46
2026-09-20T08:17:00,knee_angle,60.27
2026-09-20T08:17:00,hip_angle,10.4
2026-09-20T08:17:00,grip_force,68.02
2026-09-20T08:17:00,step_rate,90.84
2026-09-20T08:17:30,knee_angle,37.77
2026-09-20T08:17:30,hip_angle,8.6
2026-09-20T08:17:30,grip_force,205.26
2026-09-20T08:17:30,step_rate,129.59
2026-09-20T08:18:00,knee_angle,46.94
2026-09-20T08:18:00,hip_angle,33.87
2026-09-20T08:18:00,grip_force,29.75
2026-09-20T08:18:00,step_rate,76.13
2026-09-20T08:18:30,knee_angle,35.84
2026-09-20T08:18:30,hip_angle,18.53
2026-09-20T08:18:30,grip_force,200.64
2026-09-20T08:18:30,step_rate,79.69
2026-09-20T08:19:00,knee_angle,7.08
2026-09-20T08:19:00,hip_angle,66.57
2026-09-20T08:19:00,grip_force,131.5
2026-09-20T08:19:00,step_rate,78.8
2026-09-20T08:19:30,knee_angle,53.89
2026-09-20T08:19:30,hip_angle,1.89
2026-09-20T08:19:30,grip_force,131.47
2026-09-20T08:19:30,step_rate,128.71
2026-09-20T08:20:00,knee_angle,82.7
2026-09-20T08:20:00,hip_angle,48.73
2026-09-20T08:20:00,grip_force,70.06
2026-09-20T08:20:00,step_rate,92.0
2026-09-20T08:20:30,knee_angle,20.03
2026-09-20T08:20:30,hip_angle,54.04
2026-09-20T08:20:30,grip_force,132.5
2026-09-20T08:20:30,step_rate,116.74
2026-09-20T08:21:00,knee_angle,34.67
2026-09-20T08:21:00,hip_angle,15.61
2026-09-20T08:21:00,grip_force,196.65
2026-09-20T08:21:00,step_rate,129.1
